platform,campaign_name,spend,impressions,clicks,conversions,conversion_value,rows,ctr,cpc,cpm,cpa,conversion_rate,roas
Facebook,Brand_Awareness_Q1,4087.9,1425359,28917,433,0,30,0.020287520547455064,0.14136667012484005,2.8679792248829945,9.440877598152426,0.014973890790884256,
Facebook,Conversions_Retargeting,6371.0,369383,17103,1070,0,28,0.04630153526285725,0.3725077471788575,17.247680591689384,5.954205607476635,0.06256212360404607,
Facebook,Traffic_Drive_Jan,5574.1,993150,36560,741,0,27,0.036812163318733326,0.15246444201312911,5.612545939686855,7.522402159244265,0.020268052516411377,
Facebook,Video_Views_Campaign,2259.0,1753582,6319,151,0,25,0.0036034813313549066,0.3574932742522551,1.288220339852941,14.960264900662251,0.023896186105396424,
Google Ads,Display_Remarketing,3352.5,3396726,12379,345,17250.0,26,0.003644391687760508,0.2708215526294531,0.9869798152691739,9.717391304347826,0.02786977946522336,5.145413870246085
Google Ads,Search_Brand_Terms,7368.099999999999,740093,38603,1445,72250.0,30,0.05215966101557507,0.19086858534310802,9.955640710018875,5.099031141868512,0.03743232391264928,9.805784394891493
Google Ads,Search_Generic_Terms,15548.9,1215240,24162,627,31350.0,27,0.019882492347190677,0.6435270259084512,12.79492116783516,24.79888357256778,0.025949838589520734,2.0162197968988163
Google Ads,Shopping_All_Products,11416.7,1871485,62446,1801,90050.0,27,0.03336708549627702,0.18282516093905135,6.100342775923932,6.339089394780678,0.028840918553630336,7.887568211479674
TikTok,Awareness_GenZ,15640.0,8059087,118539,1203,0,30,0.0147087380989931,0.13193969917073706,1.9406664799623083,13.000831255195346,0.010148558702199276,
TikTok,Conversion_Focus,20605.9,3970406,75914,2061,0,27,0.01911995901678569,0.27143741602339494,5.189872269989517,9.998010674429889,0.027149142450667862,
TikTok,Influencer_Collab,26312.3,10513148,170684,2653,0,26,0.01623528937288812,0.15415797614304796,2.5027993518211673,9.917941952506595,0.015543343254200745,
TikTok,Traffic_Campaign,11708.5,6165526,96707,833,0,27,0.015685117539038843,0.12107189758755829,1.8990269443353252,14.055822328931573,0.008613647409184444,
